"company_name","average_growth_rate"
"K. JAM Media","2.8461538461538462"
"Instituto de la Cinematografu00eda y de las Artes Audiovisuales (ICAA)","2.84047619047619047619"
"Summer Knowledge LLC","2.8235294117647059"
"Flower Films","2.80833333333333335000"
"Origin Pictures","2.80431728690713504286"
"Dark Horse Entertainment","2.80413844408409625153"
"O2 Filmes","2.78787878787878790000"
"Danjaq","2.775702075702075702075714"
"Initial Entertainment Group (IEG)","2.76836241105637657898"
"Madison 23","2.7500000000000000"
"Media Magik Entertainment","2.7500000000000000"
"Antena 3 Televisiu00f3n","2.7500000000000000"
"SKA Films","2.70370370370370370000"
"New Line Cinema","2.66967667121156976830"
"France 3 Cinu00e9ma","2.64468242530411112739"
"Vendian Entertainment","2.63746630727762805378"
"K5 International","2.6293333333333333"
"Furthur Films","2.61441176470588235000"
"Jim Henson Company, The","2.58333333333333333334"
"Onyx Films","2.5555555555555556"
"Castelao Producciones","2.54444444444444444444"
"Blackfriars Bridge Films","2.5384615384615385"
"Sierra / Affinity","2.5294117647058824"
"The Ladd Company","2.51542465471036899478"
"Scythia Films","2.5000000000000000"
"AVCO Embassy Pictures","2.500000000000000000000000"
"Contrafilm","2.48477477477477476811"
"Crave Films","2.47142857142857142857"
"Pictures in Paradise","2.42500000000000000000"
"Industrial Development Corporation of South Africa","2.41904761904761906429"
"Outlaw Sinema","2.3928571428571429"
"Bluegrass Films","2.37796228539262594873"
"Monarchy Enterprises S.a.r.l.","2.3750000000000000"
"Chernin Entertainment","2.37105671119891586997"
"NFH Productions","2.3571428571428571"
"Lynda Obst Productions","2.35061272452576799772"
"Comedy Central Films","2.34920634920634920635"
"Mediastream Vierte Film GmbH & Co. Vermarktungs KG","2.33333333333333333334"
"Evergreen Media Group","2.32692307692307690000"
"Olive Bridge Entertainment","2.31071428571428571429"
"Pacific Western","2.28972837985769020252"
"Anonymous Content","2.28267947330447330626"
"The Weinstein Company","2.27576694665241240833"
"Winkler Films","2.261578947368421052632500"
"Sveriges Television (SVT)","2.25819961348130362792"
"Lions Gate Family Entertainment","2.2500000000000000"
"Pandora Cinema","2.22500000000000000000"
"Astral Media","2.21875000000000000000"
"RatPac Entertainment","2.2142857142857143"
"Depth of Field","2.21114612511671336230"
"Double Feature Films","2.20402094279477034897"
"Televisiu00f3n de Galicia (TVG) S.A.","2.2015000000000000"
"Sogepaq","2.2015000000000000"
"Kennedy Miller Productions","2.20030038524297630185"
"Double Negative","2.1578947368421053"
"Dune Entertainment III","2.15524380094255755496"
"WingNut Films","2.1076134568862858771690000000"
"Kinberg Genre","2.0689655172413793"
"Katalyst Films","2.05128205128205126667"
"Marv Films","2.04297136979133064830"
"Wildwood Enterprises","2.00178571428571429238"
"Turman-Foster Company","2.0000000000000000"
"Ventanarosa Productions","2.0000000000000000"
"Dickhouse Productions","2.0000000000000000"
"Herold Productions","2.0000000000000000"
"Stars Road Entertainment","2.0000000000000000"
"Cort/Madden Productions","2.0000000000000000"
"Firm Films","1.98828320802005012829"
"Jersey Films","1.95695803854113704402"
"X-Filme Creative Pool","1.94674713950698881667"
"Warner Bros.","1.9418415735698450345804729730"
"Screen Australia","1.93326213953279906569"
"Manitoba Film and Video Production Tax Credit","1.89464285714285715000"
"Bad Robot","1.89297500372620706820"
