"company_name","movie_title","revenue","revenue_quartile"
"40 Acres & A Mule Filmworks","The Best Man","34573780",1
"40 Acres & A Mule Filmworks","Love & Basketball","27728118",1
"40 Acres & A Mule Filmworks","He Got Game","21567853",2
"40 Acres & A Mule Filmworks","Mo' Better Blues","16153593",2
"40 Acres & A Mule Filmworks","25th Hour","13060843",2
"40 Acres & A Mule Filmworks","Tales from the Hood","12000000",2
"40 Acres & A Mule Filmworks","Miracle at St. Anna","9323833",2
"40 Acres & A Mule Filmworks","Get on the Bus","5731103",3
"40 Acres & A Mule Filmworks","Girl 6","4939939",3
"40 Acres & A Mule Filmworks","She's Gotta Have It","0",3
"40 Acres & A Mule Filmworks","Summer of Sam","0",3
"40 Acres & A Mule Filmworks","Crooklyn","0",3
"40 Acres & A Mule Filmworks","Da Sweet Blood of Jesus","0",4
"40 Acres & A Mule Filmworks","School Daze","0",4
"40 Acres & A Mule Filmworks","The Original Kings of Comedy","0",4
"40 Acres & A Mule Filmworks","Bamboozled","0",4
"4DH Films","Bronson","2260712",1
"4Go West Productions","The Legend of Hell's Gate: An American Conspiracy","0",1
"4M","Syriana","94000000",1
"4u00bd","Flammen & Citronen","0",1
"5150 Action","Teenage Mutant Ninja Turtles: Out of the Shadows","245623848",1
"5150 Action","The Purge: Anarchy","108782847",2
"5150 Action","Ouija","103590271",3
"5150 Action","End of Watch","48126384",4
"8:38 Productions","Prisoners","122126687",1
"80 Days Productions","Around the World in 80 Days","72178895",1
"87Eleven","Safe","40346186",1
"98 MPH Productions","The Rookie","75597042",1
"A-Line Pictures","Capote","49084830",1
"A-Mark Entertainment","Timber Falls","0",1
"A-Team","1941","31755742",1
"A B Corp","Paa","0",1
"A Band Apart","Inglourious Basterds","319131050",1
"A Band Apart","Pulp Fiction","213928762",1
"A Band Apart","Kill Bill: Vol. 1","180949000",2
"A Band Apart","Kill Bill: Vol. 2","152159461",2
"A Band Apart","From Dusk Till Dawn","25836616",3
